index;hash_cnst;hash_symb;hash_strlen;hash_ascii;hash_rol;hash_ror;hash_mrot
0;0;0;0;0;7;0;7
1;10054;0;32;2;5;0;6
2;0;0;91;2;6;0;10
3;0;0;350;1;3;0;7
4;0;0;965;2;8;0;7
5;0;0;1235;1;7;0;9
6;0;0;1528;1;4;0;8
7;0;0;1654;0;10;0;10
8;0;0;1401;0;6;0;7
9;0;0;1106;1;7;0;14
10;0;0;745;0;6;0;11
11;0;0;469;1;4;0;14
12;0;0;268;0;9;0;6
13;0;0;134;0;10;0;11
14;0;0;46;1;4;0;13
15;0;0;22;1;4;0;16
16;0;0;6;2;10;0;8
17;0;0;1;1;5;0;9
18;0;0;1;2;12;0;8
19;0;0;0;0;7;0;6
20;0;0;0;1;9;0;9
21;0;0;0;1;12;0;13
22;0;0;0;2;6;0;12
23;0;0;0;1;2;0;6
24;0;0;0;1;6;0;13
25;0;0;0;1;8;0;4
26;0;0;0;1;8;0;8
27;0;0;0;1;9;0;11
28;0;0;0;2;10;0;11
29;0;0;0;5;10;0;14
30;0;0;0;4;10;0;9
31;0;0;0;5;11;0;9
32;0;0;0;4;8;0;13
33;0;0;0;6;2;0;8
34;0;0;0;3;19;0;15
35;0;0;0;3;12;0;8
36;0;0;0;5;10;0;15
37;0;0;0;4;4;0;11
38;0;0;0;4;13;0;8
39;0;0;0;7;7;0;13
40;0;0;0;4;12;0;15
41;0;0;0;7;14;0;8
42;0;0;0;3;5;0;13
43;0;0;0;10;15;0;11
44;0;0;0;8;7;0;5
45;0;0;0;8;11;0;6
46;0;0;0;5;10;0;14
47;0;0;0;11;9;0;7
48;0;0;0;6;10;0;6
49;0;0;0;13;5;0;7
50;0;0;0;11;8;0;10
51;0;0;0;6;10;0;5
52;0;0;0;14;10;0;3
53;0;0;0;13;9;0;10
54;0;0;0;11;6;0;10
55;0;0;0;18;13;0;13
56;0;0;0;7;13;0;11
57;0;0;0;11;9;0;13
58;0;0;0;13;13;0;9
59;0;0;0;14;8;0;12
60;0;0;0;16;8;0;13
61;0;0;0;11;10;0;9
62;0;0;0;16;13;0;12
63;0;0;0;16;7;0;9
64;0;0;0;17;10;568;8
65;0;82;0;18;16;459;11
66;0;51;0;7;13;655;11
67;0;55;0;16;11;700;9
68;0;46;0;13;11;335;12
69;0;41;0;18;12;324;5
70;0;53;0;21;4;367;12
71;0;32;0;17;6;365;10
72;0;57;0;18;9;245;9
73;0;37;0;13;14;341;7
74;0;18;0;15;9;176;14
75;0;26;0;11;8;196;10
76;0;55;0;14;8;227;10
77;0;64;0;10;7;217;12
78;0;40;0;10;5;275;8
79;0;24;0;14;8;233;12
80;0;90;0;21;12;354;15
81;0;3;0;7;13;325;10
82;0;47;0;11;15;358;8
83;0;101;0;7;13;337;9
84;0;76;0;14;12;244;5
85;0;10;0;11;16;224;7
86;0;25;0;11;10;234;12
87;0;45;0;14;15;300;13
88;0;1;0;8;6;164;12
89;0;13;0;7;8;239;7
90;0;7;0;12;18;345;11
91;0;0;0;4;12;347;9
92;0;0;0;3;11;257;13
93;0;0;0;9;8;189;11
94;0;0;0;9;10;207;7
95;0;0;0;10;7;215;9
96;0;0;0;7;13;1;14
97;0;560;0;6;7;1;16
98;0;508;0;1;11;1;10
99;0;824;0;4;8;1;15
100;0;582;0;5;8;1;14
101;0;362;0;6;8;1;5
102;0;471;0;4;14;0;8
103;0;260;0;3;11;1;12
104;0;338;0;3;13;2;11
105;0;413;0;1;9;1;11
106;0;63;0;3;20;1;6
107;0;65;0;2;19;0;7
108;0;286;0;4;13;1;9
109;0;388;0;1;17;3;8
110;0;157;0;2;11;1;20
111;0;208;0;1;12;2;13
112;0;704;0;1;12;1;8
113;0;36;0;2;5;0;13
114;0;507;0;3;10;2;10
115;0;1135;0;2;15;2;21
116;0;422;0;2;12;2;6
117;0;228;0;0;8;2;3
118;0;109;0;1;10;1;14
119;0;298;0;0;8;0;9
120;0;0;0;0;18;1;11
121;0;28;0;1;3;0;6
122;0;3;0;0;7;0;14
123;0;0;0;0;13;0;11
124;0;0;0;1;14;0;10
125;0;0;0;1;6;0;11
126;0;0;0;0;8;1;13
127;0;0;0;1;5;2;9
128;0;0;0;0;9;0;6
129;0;0;0;0;10;0;10
130;0;0;0;1;17;0;8
131;0;0;0;2;12;0;12
132;0;0;0;0;8;0;7
133;0;0;0;1;9;0;11
134;0;0;0;0;13;0;6
